排名,標題,表情數
1,抽到林萱的抽獎，但是一直沒收到禮物,5254
2,交男友到底要幹嘛,2801
3,差點毒死自己,2514
4,我妹燙了一個海帶頭,2128
5,可以接受女友露到什麼程度?,2029
6,（更）原來阿樂有..,1790
7,如何才能搭上自強號？,1645
8,全聯的新麵包居然吃出這種味道！？,1533
9,上班後才看懂的小心酸,1402
10,吃茶葉蛋遇到不檢點的母雞,1268
11,麥當勞奶茶75......,1090
12,居然學生暢飲300元😳😳😳,1070
13,有充分認證照片的Lia校園霸凌澄清文,983
14,貓...站...站起來了！！！,841
15,男友在猶豫要不要去拍A片⋯🥲,806
16,別傷害好男生,791
17,28歲的存款 會太少嗎？,787
18,讓我幾乎每集都看哭的動漫,746
19,急促喘息的致命Ending妖精✨,720
20,男友的態度讓我心寒,662
21,蒼藍鴿(台大住院醫生吳其穎)恐怕會被撤職!,661
22,找到Lady GaGa的狗可以拿1400萬喔🥰,579
23,台南暴飲暴食食記,544
24,關於珉豪的🎧,498
25,25元超好吃提拉米蘇,493
26,雖然登記了，卻開始討厭老公,492
27,用$108吃肯德基,462
28,JYPE 一切都是包裝嗎,459
29,分享幾個喜歡的質感網紅穿搭,450
30,落榜的心態,440
